,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
0,0.7531491110266549,0.8513269605476834,0.8798787390965676,0.8456780351727147,0.8226284393719352,0.7539287262876228,0.7399034899520828,0.7551377322957882,0.8429223429781416,0.8881885820960975,0.8738764359881747,0.7858667607979458,0.8200202602836313,0.7915327404439303,0.8063071017557697,0.8865453440223697,0.7381583807006816,0.7139855470361824,0.8166332036731037,0.6946443468630424,0.9206814490486407,0.9536537038062035,0.7707287072640815,0.8839061625375291,0.7733546590459304,0.8814793374221654,0.7911874882275137,0.917298640075688,0.8358763351400161,0.7824008614753091,0.8596131530072714
1,0.7205716017012921,0.8128042385417852,0.8156840826113896,0.8432662655554852,0.8204689654988205,0.727301385872834,0.7106567106543721,0.7345790585138422,0.7784791948888274,0.8668846749394968,0.8599997772420667,0.7420321254013609,0.7927687898489914,0.7445521482774391,0.7704617595431534,0.8174042695573698,0.6948292939464904,0.694104129493555,0.7934192048180388,0.6787988828638255,0.8317935385172088,0.8615542356883332,0.7302440725312129,0.8628401543544838,0.7469186218474123,0.8148377890313999,0.7755297904451129,0.8298819552232017,0.8199997442841989,0.7649304676730283,0.8245338435825691
2,0.7065422203974616,0.7838918592939962,0.7842690241894802,0.8340061930640891,0.8090125082081087,0.7167970801503553,0.6996523555286259,0.7259722934011664,0.7403645523923548,0.8579932119203488,0.8222509998682291,0.7294633649725363,0.7679462236766688,0.7223434463038212,0.7332553425093397,0.7530430944609866,0.6733572079694502,0.6868278064590037,0.7788453378928051,0.6709993447134341,0.7814422015614422,0.8015081233734296,0.7134962712670047,0.8544702757878159,0.7350868555022719,0.7640855430899527,0.7699235233611375,0.7667544374533931,0.8140702121925636,0.7628986706880628,0.805114289133188
3,0.6969109107305257,0.7719519847732284,0.7713093370896517,0.8301383893306491,0.8009063100462392,0.7225309045997635,0.7025003610341527,0.7277031330519397,0.7236950120456576,0.8597588522987725,0.7909186449599961,0.7141498123726565,0.7551704962398755,0.7112118889053284,0.7209357902431041,0.7104510548674986,0.6660942513670138,0.6900441911211042,0.7723959143178719,0.6800617677002445,0.7545094813722004,0.7711406793731752,0.7096941076561629,0.8545569181618274,0.7343888413496247,0.7403611413564506,0.7763519660511877,0.7352337949527179,0.8145712511830674,0.7574019537856522,0.8042814919476096
4,0.7323227313716419,0.781343188558839,0.7734427974549977,0.8222459802933663,0.8186208368148116,0.7487874038583228,0.7157631720260396,0.7557904874052939,0.720682881723687,0.8886344158621344,0.8009096886997835,0.6995836333344,0.7680836911636495,0.7222940924799532,0.7417933908686243,0.6892914096444672,0.6751461314858528,0.7287697875133577,0.7847922707229338,0.7326751886015991,0.7431065848954717,0.763071604293527,0.7168033465441533,0.862360389358143,0.7419431058364734,0.728920122440629,0.7997103506132957,0.7281431444175607,0.8228621463549726,0.7683578856932339,0.8236433824193925
5,0.841905269913544,0.8249359010952814,0.804049698454238,0.8593425728139541,0.8978904303116509,0.8077549903080171,0.7698227250954921,0.8600228550789228,0.7408272348811754,0.9751511455061469,0.8605897188525186,0.6942519564363088,0.8229365674010055,0.7589260054796029,0.8095582992042595,0.6850331629108096,0.7164260298450649,0.8706410305884471,0.8175647872185682,0.8774060706282341,0.759919690650086,0.7815779433386872,0.7459186941040087,0.8879676235027479,0.7754673478776082,0.7294395975957673,0.8627536720256016,0.7607726966498681,0.8610396727699916,0.8151820432935167,0.8654417339464361
6,0.9918039181863983,0.922402232687739,0.8856949299815431,0.9147289867133328,1.0112950120185493,0.9425729953752717,0.9144099422832818,0.9942776706072566,0.8221492751123939,1.0373994958724466,0.9582664195757601,0.7356656441435663,0.9237340345765732,0.879514708185496,0.9615672890101584,0.6959704065583695,0.8329245832098083,1.00880232436625,0.895331907347683,1.016600135436246,0.8445046142497293,0.8420567326178702,0.8394787567490766,0.9649071361529976,0.9021140494469306,0.7460056753225757,0.9718521199824237,0.8665424230119162,0.9569088930006145,0.9719929991288162,0.9763391063726411
7,1.0924878577340804,1.0130221063064118,0.979886866287232,1.005071961162067,1.0645004504289355,1.051880496308306,1.0785625776646652,1.1053178769099437,0.937215134252752,1.063138680225283,1.0330679485056506,0.8703727257996002,0.9927845590964692,1.006599091530673,1.0428006534312895,0.7648867977368599,0.9760593298545923,1.116642038655123,1.001100832478599,1.131982745973388,0.9576490674778597,0.9076326268409536,0.9885991581105771,1.061342872008585,1.0156142427818493,0.7949851381178157,1.0477678617117292,0.9892762930067676,1.0537469325483062,1.0837395607445097,1.0379803604638977
8,1.1367937946186415,1.0602311126097546,1.0450325605751785,1.082546229592527,1.0858089081563855,1.1057868686253494,1.1500493677071653,1.1526173827133945,1.0337267380285031,1.070560260442093,1.070288409841171,1.02304228366548,1.0504253265123755,1.0815946627894886,1.0695668367374302,0.9147777293721169,1.108133197701382,1.1679820298904422,1.063988698153094,1.1871597969544596,1.030652443984437,0.9812599299040813,1.0987704328263175,1.0927296349120508,1.0806549217687988,0.8986078143348376,1.0878309443085337,1.0549189195188517,1.0924221701828087,1.1196791893606353,1.0729040612096448
9,1.1551256268189267,1.0938639499483145,1.0757913736037295,1.1083919608193404,1.0974823542155099,1.125869573760561,1.1685316886601305,1.1608958181102913,1.0918193222795356,1.069592262093904,1.0919923529513247,1.0954942088368447,1.0612927816198703,1.1095676978653934,1.0909277728713236,1.0311629562563058,1.1668275979938543,1.1824732930957396,1.0868728714551408,1.1963613328457239,1.0655127738024703,1.022998322085126,1.1469473243721653,1.0902978448704146,1.1104609384785264,1.045087805128871,1.0965883988549188,1.0819481289850754,1.1020482373133116,1.1112434166792513,1.0864247488379968
